flight_id,flight_number,airline_code,departure_date,departure_time,arrival_date,arrival_time,travel_time,departure_airport,arrival_airport
1841640b925c8ad73388337a7763bee2ff62f1f3dcb10620b91d164e90f6eaf0,NK 1359,NK,2022-11-28,05:05,2022-11-28,07:33,4:28:00,ORD,LAX
08ad5964e140ca5ff8d08f2697a146d69a3c042a136620ba11e367f74d36a70a,AA 2184,AA,2022-11-28,09:52,2022-11-28,12:31,4:39:00,ORD,LAX
ac0aa0823e3036a4de2de2810ecc3ba6dd640d48b8a17537e2c7497efc972dd6,UA 1147,UA,2022-11-28,10:35,2022-11-28,12:57,4:22:00,ORD,LAX
716591d10adc1e9cde15015c5c456932d9d54ea45ee70afee580009fae8d7605,WN 1482,WN,2022-11-28,09:00,2022-11-28,11:40,4:40:00,MDW,LAX
b4752fdef4c495241b45b9cadc7ff942a4a5d6b7f81429404d1427bd66e311ff,NK 644,NK,2022-11-28,16:00,2022-11-28,18:28,4:28:00,ORD,LAX
0f4a1626055d8004c4bcec66426c285a4cf7d9a0579888b17cf43873ea98530c,NK 1024,NK,2022-11-28,21:59,2022-11-29,00:28,4:29:00,ORD,LAX
7610f8d01c169b528a9f0c92896b09f70549fcbdc8d2ac292458d0e8fcf58626,UA 2050,UA,2022-11-28,06:15,2022-11-28,08:48,4:33:00,ORD,LAX
a8e015b090b3a40ee7087a85d688cc76444e628d705574a4c69b394896aba265,AA 669,AA,2022-11-28,06:40,2022-11-28,09:03,4:23:00,ORD,LAX
c0f9d2f90ce4f822675fdcf93ceed2c5b0bee65f1a811b368bcd4fbfc5fb67df,UA 2105,UA,2022-11-28,07:50,2022-11-28,10:10,4:20:00,ORD,LAX
d03b85abb141ed3c53bbdafdf24913776c327facd69ec59d3eaf03455fe2d721,AA 2882,AA,2022-11-28,08:19,2022-11-28,10:49,4:30:00,ORD,LAX
