flight_id,flight_number,airline_code,departure_date,departure_time,arrival_date,arrival_time,travel_time,departure_airport,arrival_airport
280dd56642992b91084ec19126c5a4f1c416190310bf42c9544326550a44e6c5,NK 1359,NK,2022-12-07,05:00,2022-12-07,07:41,4:41:00,ORD,LAX
aa200e98c70fa3002419edf9409cbb55d5ee68a4c5dce379df9e12915ae96ebb,UA 2023,UA,2022-12-07,09:05,2022-12-07,11:32,4:27:00,ORD,LAX
75326583ee9cc8458fb26137cb75adcfa218e489d56ca6117d28bc3d494bd4b2,AA 2184,AA,2022-12-07,09:52,2022-12-07,12:30,4:38:00,ORD,LAX
1663185adf9a309b7fa096fe20a32997287e0612ac7b4937cccf5fd18fcaa833,WN 2742,WN,2022-12-07,14:10,2022-12-07,16:45,4:35:00,MDW,LAX
f2bfad115d6e4767611d8dacd087250fc3447101a86e38f623c4379887752b83,NK 644,NK,2022-12-07,16:20,2022-12-07,19:04,4:44:00,ORD,LAX
1f23ed7ee008e068293cb578d2fc14eed82ce7e2b083be693f74c9ea7a768d7e,NK 1024,NK,2022-12-07,20:59,2022-12-07,23:46,4:47:00,ORD,LAX
077f43f0d0edad5670501301fd9047b2d1b35f9c66e5b7c318712bff83938bb1,AA 669,AA,2022-12-07,06:40,2022-12-07,09:05,4:25:00,ORD,LAX
9cafbfe7a2cadcd8d147511d8d9a84737049c7e3f56ecd2c1beb2575baaa824d,UA 2487,UA,2022-12-07,07:50,2022-12-07,10:21,4:31:00,ORD,LAX
0d693db129ad9ad961df3831055219c086356fe8d6653a7f8ff056f8acb176f7,UA 2061,UA,2022-12-07,10:35,2022-12-07,13:09,4:34:00,ORD,LAX
6293be0c3f0f2a00aa50406ee77cbffcc6b0f852578f2331b72b4c41cd234856,UA 2062,UA,2022-12-07,12:45,2022-12-07,15:18,4:33:00,ORD,LAX
7166160a1f2b5f9bc2fa0f7396422670a23b0d38cc48a55aead41d43db17a2ff,AA 2431,AA,2022-12-07,13:13,2022-12-07,15:51,4:38:00,ORD,LAX
83bf977b8e8cc633e30c126aa91b1362394005eb155430a64316be80c9f07d03,AA 2968,AA,2022-12-07,14:12,2022-12-07,16:49,4:37:00,ORD,LAX
b62689bbf3a51e2c60b10ba5f3ca551e4973cbba1ab8ba8b1c5b1f9fbfa74b87,UA 2676,UA,2022-12-07,14:22,2022-12-07,16:55,4:33:00,ORD,LAX
4cfe635b12f9f22b5ed7f6def1c7e0e77256c51a5096f57a7183ef08ed8cad73,AA 1375,AA,2022-12-07,15:35,2022-12-07,18:04,4:29:00,ORD,LAX
d075c63058807eb1021bbadadffb903ed02f47d1ce78fcba07ff2bdff9783164,UA 2095,UA,2022-12-07,15:45,2022-12-07,18:10,4:25:00,ORD,LAX
7579cacd7e06983065bd072405efc76579af8d69014b9c9dcbb2383403933ae6,AA 1384,AA,2022-12-07,17:05,2022-12-07,19:34,4:29:00,ORD,LAX
95c41c949e8be5b91fd0e73a47f59ccd8b92574c29384636e2cd4752990efc66,UA 1067,UA,2022-12-07,18:08,2022-12-07,20:44,4:36:00,ORD,LAX
84e57f820b4ecbe2547c5577d1d6e055c57e879a5b0f1135668c57e0c6cc0f5d,AA 374,AA,2022-12-07,19:45,2022-12-07,22:15,4:30:00,ORD,LAX
7ac90be92805980319cd1701ee3bf029be5178d57bbb2cf2ea2f2630a021da93,UA 2649,UA,2022-12-07,19:57,2022-12-07,22:33,4:36:00,ORD,LAX
6693d213a3a64da7cd8f17dc9ce18f0bf67f0db8c98e60e0ee79848249c93a7a,WN 1482,WN,2022-12-07,05:35,2022-12-07,08:15,4:40:00,MDW,LAX
c4d30cdd4e818ad3063b83143db8b4a106d875aa237f017176b463fcbe584ef1,WN 1905,WN,2022-12-07,21:00,2022-12-07,23:35,4:35:00,MDW,LAX
b90e3b6f176502c74de9dda3cd30d7bdb08d84a790dd0c35b7eb4d9d18ac4976,NK 644,NK,2022-12-08,16:20,2022-12-08,19:04,4:44:00,ORD,LAX
6a5aeee8f518bfa1cf2884fa1d0e3bdfb4eb26348db70f3057c51b36c853882c,AA 2882,AA,2022-12-08,08:35,2022-12-08,11:04,4:29:00,ORD,LAX
2bae99eb5329bbac2cf4f4a76e9c83771b07e0a06ddb6f0ade0ccc79e8c88b79,UA 2023,UA,2022-12-08,09:05,2022-12-08,11:32,4:27:00,ORD,LAX
