comment_id,text,airline
1,laudantium enim quasi est quidem magnam voluptate ipsam eostempora quo necessitatibusdolor quam autem quasireiciendis et nam sapiente accusantium,UA
2,est natus enim nihil est dolore omnis voluptatem numquamet omnis occaecati quod ullam atvoluptatem error expedita pariaturnihil sint nostrum voluptatem reiciendis et,NK
3,quia molestiae reprehenderit quasi aspernaturaut expedita occaecati aliquam eveniet laudantiumomnis quibusdam delectus saepe quia accusamus maiores nam estcum et ducimus et vero voluptates excepturi deleniti ratione,WN
4,non et atqueoccaecati deserunt quas accusantium unde odit nobis qui voluptatemquia voluptas consequuntur itaque doloret qui rerum deleniti ut occaecati,AS
5,harum non quasi et rationetempore iure ex voluptates in rationeharum architecto fugit inventore cupiditatevoluptates magni quo et,WS
6,doloribus at sed quis culpa deserunt consectetur qui praesentiumaccusamus fugiat dictavoluptatem rerum ut voluptate autemvoluptatem repellendus aspernatur dolorem in,DL
7,maiores sed dolores similique labore et inventore etquasi temporibus esse sunt id eteos voluptatem aliquamaliquid ratione corporis molestiae mollitia quia et magnam dolor,NK
8,ut voluptatem corrupti velitad voluptatem maioreset nisi velit vero accusamus maioresvoluptates quia aliquid ullam eaque,AC
9,sapiente assumenda molestiae atqueadipisci laborum distinctio aperiam et ab ut omniset occaecati aspernatur odit sit rem expeditaquas enim ipsam minus,B6
10,voluptate iusto quis nobis reprehenderit ipsum amet nullaquia quas dolores velit et nonaut quia necessitatibusnostrum quaerat nulla et accusamus nisi facilis,UA
11,ut dolorum nostrum id quia aut estfuga est inventore vel eligendi explicabo quis consecteturaut occaecati repellat id natus quo estut blanditiis quia ut vel ut maiores ea,AS
12,expedita maiores dignissimos facilisipsum est rem est fugit velit sequieum odio dolores dolor totamoccaecati ratione eius rem velit,DL
13,fuga eos qui dolor reruminventore corporis exercitationemcorporis cupiditate et deserunt recusandae est sed quis culpaeum maiores corporis et,B6
14,vel quae voluptas qui exercitationemvoluptatibus unde sedminima et qui ipsam aspernaturexpedita magnam laudantium et et quaerat ut qui dolorum,WS
15,nihil ut voluptates blanditiis autem odio dicta rerumquisquam saepe et estsunt quasi nemo laudantium deseruntmolestias tempora quo quia,AA
16,iste ut laborum aliquid velit facere itaquequo ut soluta dicta voluptateerror tempore aut etsequi reiciendis dignissimos expedita consequuntur libero sed fugiat facilis,G4
17,consequatur necessitatibus totam sed sit dolorumrecusandae quae odio excepturi voluptatum harum voluptasquisquam sit ad eveniet delectusdoloribus odio qui non labore,WS
18,veritatis voluptates necessitatibus maiores corruptineque et exercitationem amet sit etullam velit sit magnam laborummagni ut molestias,UA
19,doloribus est illo sed minima aperiamut dignissimos accusantium tempore atque et aut molestiaemagni ut accusamus voluptatem quos ut voluptatesquisquam porro sed architecto ut,WN
20,qui harum consequatur fugiatet eligendi perferendis at molestiae commodi ducimusdoloremque asperiores numquam quiut sit dignissimos reprehenderit tempore,AC
21,deleniti aut sed molestias explicabocommodi odio ratione nesciuntvoluptate doloremque estnam autem error delectus,G4
22,qui ipsa animi nostrum praesentium voluptatibus oditqui non impedit cum qui nostrum aliquid fuga explicabovoluptatem fugit earum voluptas exercitationem temporibus dignissimos distinctioesse inventore reprehenderit quidem ut incidunt nihil necessitatibus rerum,UA
23,voluptates provident repellendus iusto perspiciatis ex fugiat utut dolor nam aliquid et expedita voluptatesunt vitae illo rerum in quosvel eligendi enim quae fugiat est,WN
24,repudiandae repellat quiasequi est dolore explicabo nihil etet sit etet praesentium iste atque asperiores tenetur,G4
25,sunt aut quae laboriosam sit ut impeditadipisci harum laborum totam deleniti voluptas odit rem eanon iure distinctio ut velit doloribuset non ex,UA
26,incidunt sapiente eaque dolor eosad est molestiasquas sit et nihil exercitationem at cumque ullamnihil magnam et,B6
27,nisi vel quas ut laborum rationererum magni eumunde et voluptatem saepevoluptas corporis modi amet ipsam eos saepe porro,AC
28,voluptatem repellendus quo alias at laudantiummollitia quidem essetemporibus consequuntur vitae rerum illumid corporis sit id,AC
29,tempora voluptatem estmagnam distinctio autem est doloremet ipsa molestiae odit rerum itaque corporis nihil nameaque rerum error,G4
30,consequuntur quia voluptate assumenda etautem voluptatem reiciendis ipsum animi est providentearum aperiam sapiente ad vitae isteaccusantium aperiam eius qui dolore voluptatem et,NK
31,quia incidunt utaliquid est ut rerum deleniti iure estipsum quia ea sint etvoluptatem quaerat eaque repudiandae eveniet aut,DL
32,nihil ea itaque libero illoofficiis quo quo dicta inventore consequatur voluptas voluptatemcorporis sed necessitatibus velit temporererum velit et temporibus,AS
33,fugit harum quae verolibero unde temporesoluta eaque culpa sequi quibusdam nulla idet et necessitatibus,DL
34,omnis temporibus quasi ab omnisfacilis et omnis illum quae quasi autminus iure ex rem ut reprehenderitin non fugit,NK
35,dolor mollitia quidem facere etvel est utut repudiandae est quidem dolorem sed atquerem quia aut adipisci sunt,AS
36,aut vero estdolor non aut excepturi dignissimos illo nisi aut quasaut magni quia nostrum provident magnam quas modi maximevoluptatem et molestiae,NK
37,qui rem amet autcumque maiores earum ut quia sit nam esse quiiusto aspernatur quis voluptasdolorem distinctio ex temporibus rem,G4
38,unde voluptatem qui dictavel ad aut eos error consequatur voluptatemadipisci doloribus qui est sit autvelit aut et ea ratione eveniet iure fuga,DL
39,atque consequatur dolorem suntadipisci autem etvoluptatibus et quae necessitatibus rerum eaque aperiam nostrum nemoeligendi sed et beatae et inventore,AC
40,quod minus alias quosperferendis labore molestias quae ut ut corporis deserunt vitaeet quaerat ut et ullam unde asperiorescum voluptatem cumque,F9
41,facere repudiandae vitae ea aut sed quo ut etfacere nihil ut voluptates insaepe cupiditate accusantium numquam doloresinventore sint mollitia provident,WS
42,aut culpa quaerat veritatis eos debitisaut repellat eius explicabo etofficiis quo sint at magni ratione et iureincidunt quo sequi quia dolorum beatae qui,AC
43,voluptatem ut possimus laborum quae ut commodi delectusin et consequaturin voluptas beatae molestiaeest rerum laborum et et velit sint ipsum dolorem,B6
44,qui sunt commodisint vel optio vitae quis qui non distinctioid quasi modi dictaeos nihil sit inventore est numquam officiis,WN
45,ipsum odio harum voluptatem sunt cumque et doloresnihil laboriosam neque commodi qui estquos numquam voluptatumcorporis quo in vitae similique cumque tempore,WN
46,exercitationem et id quae cum omnisvoluptatibus accusantium et quidemut ipsam sintdoloremque illo ex atque necessitatibus sed,UA
47,occaecati laudantium ratione non cumqueearum quod non enim soluta nisi velit similique voluptatibusesse laudantium consequatur voluptatem rem eaque voluptatem aut utet sit quam,DL
48,illum et alias quidem magni voluptatumab soluta ea qui saepe corrupti hic etcum repellat esseest sint vel veritatis officia consequuntur cum,B6
49,id est iure occaecati quam similique enimab repudiandae nonillum expedita quam excepturi soluta qui placeatperspiciatis optio maiores non doloremque aut iusto sapiente,G4
50,eum accusamus aut delectusarchitecto blanditiis quia suntrerum harum sit quos quia aspernatur vel corrupti inventoreanimi dicta vel corporis,DL
51,perferendis omnis essevoluptate sit mollitia sed perferendisnemo nostrum quivel quis nisi doloribus animi odio id quas,NK
52,et enim voluptatem totam laudantiumimpedit nam labore repellendus enim earum autconsectetur mollitia fugit qui repellat expedita suntaut fugiat vel illo quos aspernatur ducimus,UA
53,a at temporemolestiae odit qui dolores molestias dolorem etlaboriosam repudiandae placeat quisquamautem aperiam consectetur maiores laboriosam nostrum,UA
54,et ipsa rem ullam cum pariatur similique quiacum ipsam est sed aut inventoreprovident sequi commodi enim inventore assumenda aut auttempora possimus soluta quia consequatur modi illo,B6
55,perferendis eaque labore laudantium ut molestiae soluta etvero odio non corrupti error pariatur consectetur etenim nam quia voluptatum nonmollitia culpa facere voluptas suscipit veniam,WS
56,cum esse odio nihil reiciendis illum quaeratest facere quiaoccaecati sit totam fugiat in beataeut occaecati unde vitae nihil quidem consequatur,DL
