flight_id,flight_number,airline_code,departure_date,departure_time,arrival_date,arrival_time,travel_time,departure_airport,arrival_airport
c45645fc442926434e54d4ad71966a4f7cd2420ccf7a8f16805611bb5d08046c,NK 1024,NK,2022/10/21,21:59,2022/10/22,0:39,4:40:00,ORD,LAX
909459dcc544dec6216b232c0426e4e5dba71aae70214efa739d2626c5972d17,UA 758,UA,2022/10/21,10:35,2022/10/21,13:00,4:25:00,ORD,LAX
9cd975325830680a6189efaa693a96c3fed69433d69ddbd54f64f07f9a7abae4,AA 2364,AA,2022/10/21,17:00,2022/10/21,19:16,4:16:00,ORD,LAX
5c690cbaed69c4ac2b03b1fe10aa91a9b0eb0b4ba84c3fbd60ba4dca61ecd834,WN 1766,WN,2022/10/21,12:25,2022/10/21,14:50,4:25:00,MDW,LAX
dfb9db781edd1b288b42cf5c7a15c833d94381f4328148e49d766279beab971c,UA 2676,UA,2022/10/21,14:12,2022/10/21,16:43,4:31:00,ORD,LAX
82d4d6231fe4c9798407b5821993701a7513e6d3284b9b0001acc15d15207c99,AA 1375,AA,2022/10/21,14:30,2022/10/21,16:52,4:22:00,ORD,LAX
7bd41f44971e1947417339792107663d8e9c5a3b94ac3795bebd7a5082f7c0a9,UA 2095,UA,2022/10/21,15:40,2022/10/21,18:00,4:20:00,ORD,LAX
108b7bc4fafd72852f0383dd2c297766aef3cf259695faf2af95c1215a485e22,UA 1067,UA,2022/10/21,17:58,2022/10/21,20:33,4:35:00,ORD,LAX
a235f65a05129abc0834b03c7327c6c2fd974189f9d140064b93e09aed360d66,AA 1640,AA,2022/10/21,18:41,2022/10/21,21:05,4:24:00,ORD,LAX
130600dc480e4bb1be3641968223d36bd434b11e733e313dc63e0c2f79dc953a,AA 1384,AA,2022/10/21,19:19,2022/10/21,21:44,4:25:00,ORD,LAX
02ee6c9651e463e4ae110dd544310bf15eed4334942ff980d671af7d0cb4a797,UA 2649,UA,2022/10/21,20:13,2022/10/21,22:44,4:31:00,ORD,LAX
3766fb71462f410fe0d1b82992ff63229430da807ae320d524d10fb941e761da,AA 374,AA,2022/10/21,20:54,2022/10/21,23:14,4:20:00,ORD,LAX
63023d9cc46316b005f25a03588cd041e0a900fc846243d7e8befde4e4cc243e,UA 1147,UA,2022/10/21,8:50,2022/10/21,11:19,4:29:00,ORD,LAX
6ff5fbf913f877153db3a0e112068e6c0e223992307c40836873183664061c7e,UA 2406,UA,2022/10/21,12:54,2022/10/21,15:25,4:31:00,ORD,LAX
55d268e840457458c0787ca744d2de1817437fe4a50f340d866e56c8ce2894b5,NK 644,NK,2022/10/21,19:30,2022/10/21,22:07,4:37:00,ORD,LAX
