flight_id,flight_number,airline_code,departure_date,departure_time,arrival_date,arrival_time,travel_time,departure_airport,arrival_airport
32f9ad23a65f6cd8ccdd16f16bf0ae12591f815241d06114872c633e2f03b249,NK 1024,NK,2022-10-27,21:59,2022-10-28,00:39,4:40:00,ORD,LAX
77371b66542a5e87ebcf3694a76ce710d9ff2d4b66c044a5d28bed5be1bb856e,AA 2131,AA,2022-10-27,09:25,2022-10-27,12:03,4:38:00,ORD,LAX
e7f1acafab6489191e8fbc252cc9293cd90656195a53f251dec99a70d9dc5358,UA 758,UA,2022-10-27,10:35,2022-10-27,13:00,4:25:00,ORD,LAX
abfeb4744a0cb66f8e75e2d763f506d34992b2a622e4f239f4bb81e652bd136b,WN 1766,WN,2022-10-27,12:25,2022-10-27,14:50,4:25:00,MDW,LAX
118a7f379fcd727c06cd35c3ce1b64586f800b3ee81a08f2acaf2b374e0d796a,NK 644,NK,2022-10-27,19:30,2022-10-27,22:07,4:37:00,ORD,LAX
45b7d90af531c8fae0be3bb08c15d795afbac381a90730b5c6d74b57ed5e181a,UA 2105,UA,2022-10-27,07:12,2022-10-27,09:39,4:27:00,ORD,LAX
ebf72ebe61c8216c3df413dd7b78d3994f569f341c11528766f77307634eae2d,AA 1037,AA,2022-10-27,07:15,2022-10-27,09:36,4:21:00,ORD,LAX
7d52a72ae8555a6ea8c31326680efaa11f972c28b8bc09be3e92b6145ac9710e,AA 2882,AA,2022-10-27,08:25,2022-10-27,10:47,4:22:00,ORD,LAX
83abeaadd2e48e8f7334892db7226078f44ed5dc9871a8a1e8c1d723d24a0ec5,UA 1147,UA,2022-10-27,08:50,2022-10-27,11:19,4:29:00,ORD,LAX
2de1708e1bc309788bdd3bd0e1d5c70b15b2bda2e962c4264017208a976d5bc7,UA 2406,UA,2022-10-27,12:54,2022-10-27,15:25,4:31:00,ORD,LAX
c994fed37d91e6a4e65d7b25aa20b26149b7c5b13537a12f0da166c6f82d5d89,AA 2431,AA,2022-10-27,13:36,2022-10-27,16:16,4:40:00,ORD,LAX
